Lat,Long,Elev,Precip
38.067,-102.933,1274.1,260.555
38.067,-103.217,2389.6,281.393
38.1,-103.5,1076.9,351.04
38.1,-102.633,2209.8,329.331
38.217,-103.717,1466.1,255.647
38.45,-102.45,2467.1,306.032
38.45,-103.15,2200.7,308.58
38.483,-102.783,1189.9,322.093
38.517,-103.7,1700.8,290.214
38.55,-103.683,1735.2,381.872
38.733,-103.55,1551.4,325.975
38.767,-102.783,1610,391.069
38.817,-102.367,1685.5,356.839
38.833,-103.833,1923.3,449.007
38.85,-102.183,2521.9,381.351
38.883,-103.65,1649.9,347.646
38.983,-102.75,1929.1,467.428
39,-103.733,2803.9,474.894
39.033,-102.167,2301.2,442.426
39.133,-103.85,2997.4,464.704
39.15,-103.483,2467.1,445.998
39.15,-103.767,1427.7,421.346
39.183,-103.717,1430.1,375.485
39.25,-102.283,1442.9,403.058
39.267,-103.683,1479.8,401.98
39.283,-103.5,1498.1,387.776
39.3,-102.6,2441.1,422.207
39.3,-102.733,1798.3,449.495
39.367,-103.05,2630.4,380.528
39.533,-105.367,1612.4,665.384
39.533,-104.65,2529.8,398.949
39.567,-105.217,2488.7,576.709
39.57,-105.8,2458.2,820.353
39.617,-105.017,2407.9,405.337
39.633,-104.833,2682.2,410.68
39.633,-104.05,2194.6,433.496
39.633,-105.317,1661.2,450.27
39.633,-105.067,2881.9,472.824
39.65,-105.87,1271,801.71
39.65,-105.7,1864.5,500.249
39.65,-105.6,1831.8,866.105
39.66,-105.59,2347,745.808
39.67,-105.9,2758.4,854.001
39.683,-105.5,2087.9,733.165
39.7,-105.7,2176.6,440.481
39.733,-104.133,2344.5,357.028
39.733,-105,2182.4,590.928
39.75,-104.417,2282.3,581.545
39.75,-104.983,2448.5,366.037
39.75,-105.083,2354.9,439.48
39.75,-105.517,2578.6,656.209
39.75,-105.117,2479.9,413.86
39.767,-104.867,1821.2,351.872
39.767,-105.85,1092.4,637.16
39.767,-105.067,1216.2,447.204
39.8,-105.78,1578.9,1034.667
39.8,-105.783,1524,1068.881
39.833,-104.65,2363.4,391.385
39.833,-105.233,1807.5,461.205
39.883,-105.383,2840.1,559.904
39.883,-105.767,1888.8,692.811
39.9,-105.017,2540.5,347.275
39.92,-105.76,1408.8,651.629
39.933,-105.35,3507.9,526.86
39.933,-105.283,2030.9,623.327
39.94,-105.59,2022.7,776.757
39.95,-104.833,1200.3,331.592
39.95,-105.833,1158.8,476.626
39.95,-105.817,1350.3,497.891
39.983,-105.5,1780,476.752
40,-105.267,2968.1,508.444
40,-105.517,2225,906.903
40.03,-105.58,1511.8,974.552
40.033,-105.267,2806,789.613
40.04,-105.54,2643.2,808.742
40.067,-104.783,3126,340.831
40.15,-104.183,1472.2,578.33
40.167,-105.067,1837.9,338.229
40.183,-105.867,1844,338.199
40.2,-105.533,1751.1,608.609
40.21,-105.57,1865.4,669.424
40.217,-105.533,2956.3,556.124
40.23,-105.92,1709,517.728
40.267,-105.833,2802.6,507.467
40.31,-105.64,1527,885.894
40.367,-105.233,2520.7,680.245
40.383,-105.517,2331.7,397.985
40.383,-105.45,2959,638.583
40.4,-105.85,2138.2,673.692
40.4,-104.7,1373.1,334.487
40.4,-105.117,2592.9,380.742
40.41,-105.82,2475,934.187
40.417,-104.683,1874.5,486.77
40.43,-105.73,1212.2,977.743
40.433,-105.2,1594.1,415.554
40.467,-104.9,2395.7,415.185
40.53,-105.89,2244.9,1143.392
40.583,-105.083,1666,364.641
40.583,-105.017,1437.1,423.466
40.617,-105.3,2331.7,585.135
40.633,-105.6,1457.2,408.719
40.65,-104.333,2760.9,330.513
40.7,-104.783,3243.1,337.93
40.7,-105.717,2876.1,425.728
40.783,-105.55,1333.2,501.69
40.8,-105.883,2310.4,490.223
40.8,-105.583,1075.9,582.642
40.81,-105.77,2404.9,766.572
40.867,-104.417,2090.9,593.632
40.967,-105.217,1261.9,470.394
41.05,-104.367,1252.7,331.374
41.15,-104.65,1100.9,403.483
41.15,-104.8,1027.2,361.699
41.15,-105.183,998.2,469.82
41.15,-105.167,1450.5,348.129
41.167,-104.15,1079,357.332
41.183,-104.883,1168,444.096
41.183,-104.067,1350.3,381.389
41.2,-105.383,1316.7,505.054
39.55,-103.35,1313.1,381.469
39.567,-103.3,1720,492.278
39.633,-102.65,2441.1,430.419
39.65,-102.117,2072.6,412.464
39.683,-103.417,2222.9,409.114
39.7,-102.3,2331.7,426.111
40.067,-103.567,2392.7,342.701
40.083,-102.183,2017.8,423.052
40.117,-102.717,2070.5,378.94
40.15,-103.15,1687.1,385.896
40.167,-103.233,1591.1,367.686
40.217,-102.817,2255.5,426.675
40.267,-103.8,1758.7,319.265
40.267,-102.833,2112.9,419.719
40.333,-102.533,2023.9,450.056
40.517,-103,1946.1,410.445
40.583,-102.3,1515.5,421.75
40.6,-103.85,2275,335.078
40.617,-102.467,1263.4,552.949
40.617,-103.217,1325.9,411.039
40.683,-102.833,1225.6,392.79
40.85,-103.9,1673.4,386.853
40.867,-102.8,1661.2,348.874
40.867,-102.517,1738.9,437.113
40.933,-103.867,2060.4,388.265
40.933,-102.533,1597.2,556.71
40.967,-102.383,2129,442.098
40.983,-102.267,2048.3,410.152
41.067,-102.067,2068.1,393.492
41.1,-102.983,1831.8,473.544
41.15,-102.633,1902,425.802
41.217,-103.317,1642.9,346.236
41.217,-103.017,1867.2,372.686
41.25,-103.667,1905.9,364.985
39.833,-101.917,1940.1,413.465
40.017,-101.933,2250.9,425.671
40.533,-101.967,2763.6,382.298
41.15,-105.183,2073.9,469.82
41.15,-105.167,2039.1,348.129
41.183,-104.067,1546.6,381.389
41.167,-104.15,1578.9,357.332
41.2,-105.383,2513.1,505.054
